code,name,description,unit_code,unit_name,unit_sigla,is_active
61046300,De fibras sintéticas,De fibras sintéticas,10,UNIDAD,U,true
61046900,De las demás materias textiles,De las demás materias textiles,10,UNIDAD,U,true
61051011,Para hombres,Para hombres,10,UNIDAD,U,true
61051012,Para niños,Para niños,10,UNIDAD,U,true
61051091,Para hombres,Para hombres,10,UNIDAD,U,true
61051092,Para niños,Para niños,10,UNIDAD,U,true
61052010,Para hombres,Para hombres,10,UNIDAD,U,true
61052020,Para niños,Para niños,10,UNIDAD,U,true
61059000,De las demás materias textiles,De las demás materias textiles,10,UNIDAD,U,true
61061000,De algodón,De algodón,10,UNIDAD,U,true
61062000,De fibras sintéticas o artificiales,De fibras sintéticas o artificiales,10,UNIDAD,U,true
61069000,De las demás materias textiles,De las demás materias textiles,10,UNIDAD,U,true
61071100,De algodón,De algodón,10,UNIDAD,U,true
